dataset_id,name,stage,domain,scope,reference_date,path,format,row_count,column_count,member_count,crs,bytes,availability_status,verification_status,repository_policy,license_status,source_url,derived_from,notes
flood_trace_korea_qa_province,전국 침수흔적 시도별 QA,interim,flood-qa,전국 17개 시도,2024-11-27,data/interim/flood-trace/korea_flood_qa_by_province.csv,CSV,17,12,,N/A,900,READY,COUNT_AND_HASH_VERIFIED,GIT_TRACKED_DERIVED,원본과 동일한 재사용 조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_korea_raw,
flood_trace_korea_qa_year,전국 침수흔적 연도별 QA,interim,flood-qa,전국,2024-11-27,data/interim/flood-trace/korea_flood_qa_by_year.csv,CSV,21,13,,N/A,1103,READY,COUNT_AND_HASH_VERIFIED,GIT_TRACKED_DERIVED,원본과 동일한 재사용 조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_korea_raw,
flood_trace_korea_raw,전국 침수흔적도 2002-2022,raw,flood,전국 17개 시도,2024-11-27,data/raw/flood-trace/korea_flood_2002_2022.geojson,GeoJSON,38003,16,,EPSG:4326 / CRS84,56963218,READY_LOCAL_ONLY,MANIFEST_HASH_COUNT_CRS_TOPOLOGY_VERIFIED,LOCAL_ONLY_GITIGNORED; MANIFEST_TRACKED,OPEN—행정안전부·Esri Korea 재사용 조건 재확인 필요,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,,"38,003 Polygon/MultiPolygon, 16 source attributes. 원본 도형은 수정하지 않았고 self-intersection 22건은 manifest에 기록했다."
flood_trace_korea_records,전국 침수흔적 속성표,interim,flood,전국 17개 시도,2024-11-27,data/interim/flood-trace/korea_flood_records.csv,CSV,38003,16,,N/A (geometry excluded),5675151,READY_WITH_LIMITATIONS,COUNT_SCHEMA_SOURCE_HASH_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본과 동일한 재사용·재배포 조건 확인 필요,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_korea_raw,source attribute 16개만 보존하며 event_id는 만들지 않았다. 전체 속성 재배포 조건 확인 전 로컬 전용이다.
gyeongbuk_building_parking_features,경북 지하층 건물 공간·대장 특징표,processed,building,경상북도,2025-12-04 건물 기준,data/processed/buildings/gyeongbuk_building_underground_parking_features.csv,CSV,25336,27,,EPSG:4326 좌표 컬럼,8108309,READY_WITH_LIMITATIONS,ROW_SCHEMA_COORDINATE_RANGE_VERIFIED,GIT_TRACKED_DERIVED,건축HUB·VWorld 이용조건 적용,https://www.data.go.kr/data/15134735/openapi.do,building_register_parking_candidates;vworld_gyeongbuk_buildings_20251204,한 행은 GIS 지하층 건물이다. 지하주차장 판정은 PNU 단위여서 같은 필지 건물이 같은 판정을 공유할 수 있다.
gyeongbuk_event_station_rain,경북 침수 시작일시 × 관측소 강수 특징,processed,rainfall,경북 사건시각 × 전국 관측소,2026-08-22 생성,data/processed/rainfall/gyeongbuk_flood_event_rain.csv,CSV,20018,15,,N/A (station_id로 좌표 결합),1743214,READY_WITH_LIMITATIONS,ROW_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,기상청 자료 이용조건 적용,https://apihub.kma.go.kr/apiList.do?seqApi=2&seqApiSub=239,kma_event_hourly_rain_raw;flood_trace_gyeongbuk_event_candidates,
gyeongbuk_overture_elevation_csv,경북 Overture 건물·Copernicus DSM 특징(도형 제외),processed,building-terrain,경상북도,Overture 2026-08-19 / DSM 2021,data/processed/buildings/gyeongbuk_buildings_elevation.csv.gz,CSV.GZ,305058,29,,EPSG:4326 좌표 컬럼,16740892,READY_WITH_LIMITATIONS,ROW_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,Overture ODbL 1.0 및 Copernicus 조건 적용,https://overturemaps.org/;https://registry.opendata.aws/copernicus-dem/,gyeongbuk_overture_elevation_parquet,Parquet와 같은 논리 데이터이며 geometry_wkb만 제외한다.
gyeongbuk_overture_elevation_parquet,경북 Overture 건물·Copernicus DSM 특징,processed,building-terrain,경상북도,Overture 2026-08-19 / DSM 2021,data/processed/buildings/gyeongbuk_buildings_elevation.parquet,Parquet with WKB geometry,305058,30,,EPSG:4326 WKB/좌표,33668138,READY_WITH_LIMITATIONS,MANIFEST_ROW_SCHEMA_HASH_VERIFIED,GIT_TRACKED_DERIVED,Overture ODbL 1.0 및 Copernicus 조건 적용,https://overturemaps.org/;https://registry.opendata.aws/copernicus-dem/,,"305,058행, 30컬럼. 원본 Overture/DEM 타일은 현재 로컬에 없어 이 파일만으로 처음부터 재생성할 수 없다."
gyeongbuk_parking_risk,경북 지하층 건물 규칙 기반 위험표,processed,ml-output,경상북도 지하층 건물,2026-08-22 생성,data/processed/ml/predictions/gyeongbuk_underground_parking_risk.csv,CSV,25336,23,,EPSG:4326 좌표 컬럼,7604119,READY_WITH_LIMITATIONS,ROW_SCHEMA_AND_MANIFEST_VERIFIED,GIT_TRACKED_DERIVED,모든 원천의 이용조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,gyeongbuk_building_parking_features;gyeongbuk_overture_elevation_csv;flood_trace_gyeongbuk_raw,지하주차장 실제 침수 확률이 아니라 지형·과거 지표면 침수 기반 상시 위험도다.
gyeongbuk_public_parking_seed,경북 공영주차장 후보,processed,parking,경상북도 22개 시군,2026-08-22 생성,data/processed/parking/gyeongbuk_parking_seed.csv,CSV,2010,25,,EPSG:4326 좌표 컬럼,772489,READY_WITH_LIMITATIONS,ROW_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,공공데이터포털 원천 조건 적용,https://www.data.go.kr/data/15012896/standard.do,parking_standard_raw,대피 가능한 안전 주차장으로 검증된 목록은 아니다.
gyeongbuk_surface_flood_training,경북 지표면 침수 학습표,processed,ml-training,경상북도 조사영향권,2002-2021 사건 기록,data/processed/ml/training/gyeongbuk_flood_training_table.csv,CSV,45920,29,,EPSG:4326 좌표 컬럼,12343826,READY_WITH_LIMITATIONS,ROW_SCHEMA_AND_MANIFEST_VERIFIED,GIT_TRACKED_DERIVED,모든 원천의 이용조건 적용,https://portal.esrikr.com/arcgis/rest/services/Hosted/Flood_2002_2022/FeatureServer/0,flood_trace_gyeongbuk_raw;gyeongbuk_overture_elevation_csv;gyeongbuk_event_station_rain,정답은 지하주차장 침수가 아니라 지표면 침수다. 음성은 1km 내 약한 pseudo-negative다.
kma_event_hourly_rain_raw,경북 침수사건 KMA 시간강수 원응답,raw,rainfall,전국 관측소 × 경북 사건시각,2026-08-22,data/raw/kma-rain/gyeongbuk_flood_event_hourly_rain_raw.jsonl,JSONL,427,2,,N/A (관측소 좌표는 별도 목록),11526199,READY_LOCAL_ONLY,JSONL_PARSE_VERIFIED,LOCAL_ONLY_GITIGNORED,기상청 자료 이용조건 재확인 필요,https://apihub.kma.go.kr/apiList.do?seqApi=2&seqApiSub=239,,
kma_station_list_raw,기상청 관측지점정보 원본,raw,station,국내외 관측지점 이력,2026-08-22,data/raw/kma-stations/kma_station_list_raw.csv,CSV (source encoding),14927,13,,EPSG:4326 좌표 컬럼,1007577,READY_LOCAL_ONLY,ROW_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,기상청 자료 이용조건 재확인 필요,https://data.kma.go.kr/tmeta/stn/selectStnList.do?pgmNo=123,,
kma_station_list_utf8,기상청 관측지점정보 UTF-8 변환본,interim,station,국내외 관측지점 이력,2026-08-22,data/raw/kma-stations/kma_station_list.csv,CSV UTF-8,14927,13,,EPSG:4326 좌표 컬럼,1105669,READY,ROW_SCHEMA_VERIFIED,GIT_TRACKED,기상청 자료 이용조건 재확인 필요,https://data.kma.go.kr/tmeta/stn/selectStnList.do?pgmNo=123,kma_station_list_raw,내용은 중간 변환본이지만 현재 경로는 raw 아래다.
parking_standard_raw,전국주차장정보표준데이터 원본 페이지,raw,parking,전국,2026-08-22 다운로드,data/raw/parking_standard_page_*.json,JSON array (2 pages),18879,34,,EPSG:4326 좌표 컬럼,17922564,READY,ROW_SCHEMA_VERIFIED,GIT_TRACKED,공공데이터포털 표준데이터 이용조건 확인 필요,https://www.data.go.kr/data/15012896/standard.do,,
vworld_column_dictionary_20260102_raw,VWorld 국가중점데이터 컬럼 정의서,raw,metadata,VWorld 국가중점데이터,2026-01-02,data/raw/vworld-downloads/reference/vworld_national_core_data_column_dictionary_2026-01-02.xlsx,XLSX,,,,N/A,224115,READY_LOCAL_ONLY,XLSX_CONTAINER_AND_SHA256_VERIFIED,LOCAL_ONLY_GITIGNORED,VWorld 이용조건 적용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,SHA-256 46dd29c6ab681c1e34cf00d91f8f2fe68b7e1868a853315eaa292838238ecb0f. AL_D010 공식 컬럼 정의는 워크북 773~801행에서 확인했다.
vworld_gyeongbuk_buildings_20201205,VWorld GIS건물통합정보 경북 2020-12-05,raw,building,경상북도,2020-12-05,data/raw/vworld-buildings/gyeongbuk/AL_47_D010_20201205,Shapefile 3-part bundle,2023861,23,,EPSG:5174 (PRJ 확인),2914882480,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_gyeongbuk_buildings_20211204,VWorld GIS건물통합정보 경북 2021-12-04,raw,building,경상북도,2021-12-04,data/raw/vworld-buildings/gyeongbuk/AL_47_D010_20211204,Shapefile 3-part bundle,2015814,23,,EPSG:5174 (PRJ 확인),2903763718,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_gyeongbuk_buildings_20221203,VWorld GIS건물통합정보 경북 2022-12-03,raw,building,경상북도,2022-12-03,data/raw/vworld-buildings/gyeongbuk/AL_47_D010_20221203,Shapefile 3-part bundle,2014201,23,,EPSG:5174 (PRJ 확인),2901375068,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_gyeongbuk_buildings_20231204,VWorld GIS건물통합정보 경북 2023-12-04,raw,building,경상북도,2023-12-04,data/raw/vworld-buildings/gyeongbuk/AL_D010_47_20231204,Shapefile 3-part bundle,2007948,24,,EPSG:5186 (PRJ 확인),2918592541,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_gyeongbuk_buildings_20241204,VWorld GIS건물통합정보 경북 2024-12-04,raw,building,경상북도,2024-12-04,data/raw/vworld-buildings/gyeongbuk/AL_D010_47_20241204,Shapefile 3-part bundle,2009337,29,,EPSG:5186 (PRJ 확인),3997748376,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_gyeongbuk_buildings_20251204,VWorld GIS건물통합정보 경북 2025-12-04,raw,building,경상북도,2025-12-04,data/raw/vworld-buildings/gyeongbuk/AL_D010_47_20251204,Shapefile 3-part bundle,2008310,29,,EPSG:5186 (PRJ 확인),3996045659,READY_LOCAL_ONLY,DBF_HEADERS_AND_PRJ_VERIFIED,LOCAL_ONLY_GITIGNORED,OPEN—원본 재배포 권리 확인 전 로컬 전용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,행 수는 3개 DBF 헤더 합계다. 같은 basename의 SHP/SHX/DBF/PRJ/CPG 또는 FIX를 한 묶음으로 취급한다. A1은 모든 연도에서 완전한 유일키가 아니다.
vworld_korea_buildings_20221203_archive,VWorld GIS건물통합정보 전국 2022 묶음,raw,building,전국 17개 시도,2022-12-03,data/raw/vworld-downloads/national/2022-12-03/vworld_gis_buildings_national_2022-12-03.zip,ZIP containing 17 province ZIPs / 24 Shapefile parts,13885793,23,17,EPSG:5174 (24개 PRJ 확인),1548576788,READY_LOCAL_ONLY_WITH_LIMITATIONS,OUTER_CRC_INNER_DBF_PRJ_SCHEMA_VERIFIED,LOCAL_ONLY_GITIGNORED,"CC BY 배지 표시는 확인; 원본 재배포·2차 배포 조건은 미확정, 로컬 전용",https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,"1,548,576,788 bytes; SHA-256 4bd30f10312bb7914e412c516e19c7e41f1ab049a09961b1d4d8c36bf354194d. 17개 시도 ZIP, 24개 SHP part. 13,885,793은 DBF 헤더의 행 수 합계이며 deleted-record flag, A1 공백·중복, geometry 유효성·topology는 미검증이다. 2022 스키마는 A0~A22까지만 있어 지하층수 A27이 없다. 원본 geometry는 영구 추출하지 않았다."
vworld_korea_buildings_20221203_fields,VWorld GIS건물통합정보 전국 2022 필드 사전,interim,building-qa,전국 2022 공통 스키마,2022-12-03,data/interim/vworld-buildings/national_2022-12-03_field_dictionary.csv,CSV,23,7,,N/A,1313,READY,OFFICIAL_DICTIONARY_AND_DBF_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,VWorld 컬럼 정의서 이용조건 적용,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,vworld_korea_buildings_20221203_archive,A0~A22의 공식 한글명·실제 DBF 타입·길이와 후보 역할을 정리했다. A26 지상층수와 A27 지하층수는 이 2022 스냅샷에 없다.
vworld_korea_buildings_20221203_inventory,VWorld GIS건물통합정보 전국 2022 SHP part 인벤토리,interim,building-qa,전국 17개 시도,2022-12-03,data/interim/vworld-buildings/national_2022-12-03_inventory.csv,CSV,24,15,,N/A (CRS는 행 단위 필드; 모두 EPSG:5174),42759,READY,OUTER_CRC_INNER_DBF_PRJ_SCHEMA_VERIFIED,GIT_TRACKED_DERIVED,원본과 동일한 이용조건 적용; 원본 재배포 조건 미확정,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,vworld_korea_buildings_20221203_archive,"24개 SHP part의 DBF 행·필드, PRJ, 사이드카 존재를 기록한 QA 표다."
